Year Opened,state,county,county_id,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,Power_Capacity_Level3_kW,Power_Capacity_Level1_kW,Power_Capacity_Level2_kW,Power_Capacity_kW,All_Ports,id
2021,Michigan,Calhoun County,26025,4.0,0.0,16.0,800.0,0.0,208.0,1008.0,20.0,26025
2021,Michigan,Charlevoix County,26029,0.0,0.0,3.0,0.0,0.0,39.0,39.0,3.0,26029
2021,Michigan,Cheboygan County,26031,2.0,0.0,9.0,400.0,0.0,117.0,517.0,11.0,26031
2021,Michigan,Chippewa County,26033,8.0,0.0,0.0,1600.0,0.0,0.0,1600.0,8.0,26033
2021,Michigan,Clare County,26035,1.0,0.0,4.0,200.0,0.0,52.0,252.0,5.0,26035
2021,Maine,Oxford County,23017,0.0,0.0,13.0,0.0,0.0,169.0,169.0,13.0,23017
2021,Maine,Knox County,23013,0.0,0.0,2.0,0.0,0.0,26.0,26.0,2.0,23013
2021,Michigan,Crawford County,26039,3.0,0.0,0.0,600.0,0.0,0.0,600.0,3.0,26039
2021,Maine,Kennebec County,23011,2.0,0.0,16.0,400.0,0.0,208.0,608.0,18.0,23011
2021,Maryland,Howard County,24027,4.0,0.0,94.0,800.0,0.0,1222.0,2022.0,98.0,24027
2021,Maryland,Kent County,24029,2.0,0.0,1.0,400.0,0.0,13.0,413.0,3.0,24029
2021,Maryland,Montgomery County,24031,3.0,0.0,215.0,600.0,0.0,2795.0,3395.0,218.0,24031
2021,Maryland,Queen Anne's County,24035,1.0,0.0,8.0,200.0,0.0,104.0,304.0,9.0,24035
2021,Maryland,Somerset County,24039,0.0,0.0,9.0,0.0,0.0,117.0,117.0,9.0,24039
2021,Maryland,St. Mary's County,24037,9.0,0.0,29.0,1800.0,0.0,377.0,2177.0,38.0,24037
2021,Maryland,Talbot County,24041,0.0,0.0,11.0,0.0,0.0,143.0,143.0,11.0,24041
2021,Maryland,Washington County,24043,13.0,0.0,12.0,2600.0,0.0,156.0,2756.0,25.0,24043
2021,Maryland,Wicomico County,24045,2.0,0.0,11.0,400.0,0.0,143.0,543.0,13.0,24045
2021,Maryland,Worcester County,24047,0.0,0.0,14.0,0.0,0.0,182.0,182.0,14.0,24047
2021,Maine,Androscoggin County,23001,0.0,0.0,6.0,0.0,0.0,78.0,78.0,6.0,23001
2021,Maine,Aroostook County,23003,0.0,0.0,2.0,0.0,0.0,26.0,26.0,2.0,23003
2021,Maine,Cumberland County,23005,4.0,0.0,32.0,800.0,0.0,416.0,1216.0,36.0,23005
2021,Maine,Franklin County,23007,10.0,0.0,4.0,2000.0,0.0,52.0,2052.0,14.0,23007
2021,Maine,Hancock County,23009,0.0,0.0,6.0,0.0,0.0,78.0,78.0,6.0,23009
2021,Michigan,Clinton County,26037,0.0,0.0,5.0,0.0,0.0,65.0,65.0,5.0,26037
2021,Michigan,Delta County,26041,9.0,0.0,1.0,1800.0,0.0,13.0,1813.0,10.0,26041
2021,Maryland,Garrett County,24023,1.0,0.0,3.0,200.0,0.0,39.0,239.0,4.0,24023
2021,Michigan,Manistee County,26101,2.0,0.0,10.0,400.0,0.0,130.0,530.0,12.0,26101
2021,Michigan,Mason County,26105,4.0,0.0,3.0,800.0,0.0,39.0,839.0,7.0,26105
2021,Michigan,Mecosta County,26107,1.0,0.0,2.0,200.0,0.0,26.0,226.0,3.0,26107
2021,Michigan,Midland County,26111,1.0,0.0,9.0,200.0,0.0,117.0,317.0,10.0,26111
2021,Michigan,Monroe County,26115,2.0,0.0,1.0,400.0,0.0,13.0,413.0,3.0,26115
2021,Michigan,Montcalm County,26117,2.0,0.0,2.0,400.0,0.0,26.0,426.0,4.0,26117
2021,Michigan,Muskegon County,26121,4.0,0.0,7.0,800.0,0.0,91.0,891.0,11.0,26121
2021,Michigan,Oakland County,26125,3.0,0.0,79.0,600.0,0.0,1027.0,1627.0,82.0,26125
2021,Michigan,Oceana County,26127,0.0,0.0,2.0,0.0,0.0,26.0,26.0,2.0,26127
2021,Michigan,Ogemaw County,26129,0.0,0.0,2.0,0.0,0.0,26.0,26.0,2.0,26129
2021,Michigan,Osceola County,26133,0.0,0.0,2.0,0.0,0.0,26.0,26.0,2.0,26133
2021,Michigan,Otsego County,26137,6.0,0.0,2.0,1200.0,0.0,26.0,1226.0,8.0,26137
2021,Michigan,Ottawa County,26139,1.0,0.0,34.0,200.0,0.0,442.0,642.0,35.0,26139
2021,Michigan,Presque Isle County,26141,2.0,0.0,4.0,400.0,0.0,52.0,452.0,6.0,26141
2021,Michigan,Roscommon County,26143,0.0,0.0,4.0,0.0,0.0,52.0,52.0,4.0,26143
2021,Michigan,Saginaw County,26145,2.0,0.0,2.0,400.0,0.0,26.0,426.0,4.0,26145
2021,Michigan,Marquette County,26103,8.0,0.0,3.0,1600.0,0.0,39.0,1639.0,11.0,26103
2021,Michigan,Macomb County,26099,2.0,0.0,8.0,400.0,0.0,104.0,504.0,10.0,26099
2021,Michigan,Dickinson County,26043,1.0,0.0,0.0,200.0,0.0,0.0,200.0,1.0,26043
2021,Michigan,Mackinac County,26097,0.0,0.0,4.0,0.0,0.0,52.0,52.0,4.0,26097
2021,Michigan,Eaton County,26045,0.0,0.0,2.0,0.0,0.0,26.0,26.0,2.0,26045
2021,Michigan,Emmet County,26047,6.0,0.0,3.0,1200.0,0.0,39.0,1239.0,9.0,26047
2021,Michigan,Genesee County,26049,0.0,0.0,4.0,0.0,0.0,52.0,52.0,4.0,26049
2021,Michigan,Gogebic County,26053,0.0,0.0,3.0,0.0,0.0,39.0,39.0,3.0,26053
2021,Michigan,Grand Traverse County,26055,4.0,0.0,26.0,800.0,0.0,338.0,1138.0,30.0,26055
2021,Michigan,Hillsdale County,26059,0.0,0.0,2.0,0.0,0.0,26.0,26.0,2.0,26059
2021,Michigan,Ionia County,26067,1.0,0.0,0.0,200.0,0.0,0.0,200.0,1.0,26067
2021,Michigan,Iosco County,26069,0.0,0.0,1.0,0.0,0.0,13.0,13.0,1.0,26069
2021,Michigan,Iron County,26071,0.0,0.0,1.0,0.0,0.0,13.0,13.0,1.0,26071
2021,Michigan,Isabella County,26073,1.0,0.0,3.0,200.0,0.0,39.0,239.0,4.0,26073
2021,Michigan,Jackson County,26075,3.0,0.0,4.0,600.0,0.0,52.0,652.0,7.0,26075
2021,Michigan,Kalamazoo County,26077,9.0,0.0,4.0,1800.0,0.0,52.0,1852.0,13.0,26077
2021,Michigan,Kalkaska County,26079,1.0,0.0,2.0,200.0,0.0,26.0,226.0,3.0,26079
2021,Michigan,Kent County,26081,5.0,0.0,10.0,1000.0,0.0,130.0,1130.0,15.0,26081
2021,Michigan,Livingston County,26093,2.0,0.0,7.0,400.0,0.0,91.0,491.0,9.0,26093
2021,Maryland,Harford County,24025,22.0,0.0,21.0,4400.0,0.0,273.0,4673.0,43.0,24025
2021,Maryland,Frederick County,24021,0.0,0.0,2.0,0.0,0.0,26.0,26.0,2.0,24021
2021,Indiana,Harrison County,18061,0.0,0.0,2.0,0.0,0.0,26.0,26.0,2.0,18061
2021,Indiana,Wells County,18179,0.0,0.0,1.0,0.0,0.0,13.0,13.0,1.0,18179
2021,Kansas,Butler County,20015,1.0,0.0,0.0,200.0,0.0,0.0,200.0,1.0,20015
2021,Kansas,Crawford County,20037,0.0,0.0,2.0,0.0,0.0,26.0,26.0,2.0,20037
2021,Kansas,Douglas County,20045,0.0,0.0,9.0,0.0,0.0,117.0,117.0,9.0,20045
2021,Kansas,Ellis County,20051,4.0,0.0,0.0,800.0,0.0,0.0,800.0,4.0,20051
2021,Kansas,Finney County,20055,0.0,0.0,2.0,0.0,0.0,26.0,26.0,2.0,20055
2021,Kansas,Johnson County,20091,0.0,0.0,403.0,0.0,0.0,5239.0,5239.0,403.0,20091
2021,Kansas,Reno County,20155,1.0,0.0,6.0,200.0,0.0,78.0,278.0,7.0,20155
2021,Kansas,Riley County,20161,0.0,0.0,2.0,0.0,0.0,26.0,26.0,2.0,20161
2021,Kansas,Saline County,20169,4.0,0.0,0.0,800.0,0.0,0.0,800.0,4.0,20169
2021,Kansas,Sedgwick County,20173,5.0,0.0,26.0,1000.0,0.0,338.0,1338.0,31.0,20173
2021,Kansas,Shawnee County,20177,5.0,0.0,7.0,1000.0,0.0,91.0,1091.0,12.0,20177
2021,Kansas,Thomas County,20193,4.0,0.0,0.0,800.0,0.0,0.0,800.0,4.0,20193
2021,Kansas,Wyandotte County,20209,0.0,0.0,1.0,0.0,0.0,13.0,13.0,1.0,20209
2021,Kentucky,Barren County,21009,0.0,0.0,2.0,0.0,0.0,26.0,26.0,2.0,21009
2021,Kentucky,Boone County,21015,12.0,0.0,10.0,2400.0,0.0,130.0,2530.0,22.0,21015
2021,Kansas,Barton County,20009,0.0,0.0,2.0,0.0,0.0,26.0,26.0,2.0,20009
2021,Indiana,Warrick County,18173,0.0,0.0,2.0,0.0,0.0,26.0,26.0,2.0,18173
2021,Kentucky,Campbell County,21037,0.0,0.0,6.0,0.0,0.0,78.0,78.0,6.0,21037
2021,Indiana,Wabash County,18169,0.0,0.0,8.0,0.0,0.0,104.0,104.0,8.0,18169
2021,Indiana,Hendricks County,18063,0.0,0.0,2.0,0.0,0.0,26.0,26.0,2.0,18063
2021,Indiana,LaGrange County,18087,16.0,0.0,0.0,3200.0,0.0,0.0,3200.0,16.0,18087
